Timestamp,Drone_ID,Missao_ID,Estado,PosX,PosY,PosZ,Bateria_kWh,Carga_kg,Impacto
07:20:51.182496,0,1,IDA,357.0,207.0,0.1,0.008667,3.0,0
07:20:56.575477,0,1,VOLTA,131.0,103.0,0.1,0.014077,0.0,0
07:21:05.928642,1,2,IDA,255.0,315.0,0.1,0.011776,3.0,0
07:21:14.359145,1,2,VOLTA,131.0,103.0,0.1,0.019456,0.0,0
07:21:20.174207,0,3,IDA,399.0,100.0,0.1,0.021817,3.0,0
07:21:27.639271,0,3,VOLTA,131.0,103.0,0.1,0.026549,0.0,0
07:21:34.259278,1,4,IDA,140.0,293.0,0.1,0.02701,3.0,0
07:21:39.045468,1,4,VOLTA,131.0,103.0,0.1,0.031607,0.0,0
07:21:42.855997,0,5,IDA,119.0,190.0,0.1,0.032155,3.0,0
07:21:46.728121,0,5,VOLTA,131.0,103.0,0.1,0.035329,0.0,0
