Timestamp,Rodada,Drone_ID,Missao_ID,Estado,PosX,PosY,PosZ,Bateria_kWh,Carga_kg,Impacto
14:46:14.018666,1,1,1,IDA,332.0,59.0,0.1,0.005171,3.0,0
14:46:14.318330,1,1,1,VOLTA,159.0,21.0,0.1,0.008004,0.0,0
14:46:16.670879,1,2,2,IDA,185.0,125.0,0.1,0.005171,3.0,0
14:46:16.996279,1,2,2,VOLTA,159.0,21.0,0.1,0.008004,0.0,0
14:46:19.450930,1,3,3,IDA,151.0,119.0,0.1,0.005171,3.0,0
14:46:19.772349,1,3,3,VOLTA,159.0,21.0,0.1,0.008004,0.0,0
14:46:22.147051,1,4,4,IDA,253.0,208.0,0.1,0.005171,3.0,0
14:46:22.450724,1,4,4,VOLTA,159.0,21.0,0.1,0.008004,0.0,0
14:46:24.852670,1,5,5,IDA,65.0,299.0,0.1,0.005171,3.0,0
14:46:25.161025,1,5,5,VOLTA,159.0,21.0,0.1,0.008004,0.0,0
