Timestamp,Drone_ID,Missao_ID,Estado,PosX,PosY,PosZ,Bateria_kWh,Carga_kg,Impacto
14:26:09.540469,0,1,IDA,426.0,444.0,0.1,0.008575,3.0,0
14:26:14.469770,0,1,VOLTA,479.0,295.0,0.1,0.013917,0.0,0
14:26:18.700229,1,2,IDA,448.0,366.0,0.1,0.006348,3.0,0
14:26:22.901234,1,2,VOLTA,479.0,295.0,0.1,0.010064,0.0,0
14:26:27.525445,0,3,IDA,267.0,181.0,0.1,0.021378,3.0,0
14:26:32.017051,0,3,VOLTA,479.0,295.0,0.1,0.025907,0.0,0
14:26:36.196342,1,4,IDA,452.0,75.0,0.1,0.016644,3.0,0
14:26:40.512520,1,4,VOLTA,479.0,295.0,0.1,0.020529,0.0,0
14:26:45.326418,0,5,IDA,443.0,461.0,0.1,0.033554,3.0,0
14:26:50.005653,0,5,VOLTA,479.0,295.0,0.1,0.038219,0.0,0
