Timestamp,Drone_ID,Missao_ID,Estado,PosX,PosY,PosZ,Bateria_kWh,Carga_kg,Impacto
14:32:40.629342,0,1,IDA,426.0,444.0,0.1,0.007647,3.0,0
14:32:45.213098,0,1,VOLTA,479.0,295.0,0.1,0.012311,0.0,0
14:32:49.450503,1,2,IDA,448.0,366.0,0.1,0.006487,3.0,0
14:32:53.670372,1,2,VOLTA,479.0,295.0,0.1,0.010304,0.0,0
14:32:58.430949,2,3,IDA,267.0,181.0,0.1,0.007693,3.0,0
14:33:04.368536,2,3,VOLTA,479.0,295.0,0.1,0.012392,0.0,0
14:33:08.706238,3,4,IDA,452.0,75.0,0.1,0.006487,3.0,0
14:33:13.809074,3,4,VOLTA,479.0,295.0,0.1,0.010304,0.0,0
14:33:18.624649,4,5,IDA,443.0,461.0,0.1,0.005977,3.0,0
14:33:23.310027,4,5,VOLTA,479.0,295.0,0.1,0.009421,0.0,0
14:33:28.423011,5,6,IDA,271.0,322.0,0.1,0.006812,3.0,0
14:33:33.783125,5,6,VOLTA,479.0,295.0,0.1,0.010866,0.0,0
14:33:40.365362,6,7,IDA,309.0,197.0,0.1,0.008853,3.0,0
14:33:46.783785,6,7,VOLTA,479.0,295.0,0.1,0.014399,0.0,0
14:33:51.591209,7,8,IDA,238.0,297.0,0.1,0.005884,3.0,0
14:33:56.398839,7,8,VOLTA,479.0,295.0,0.1,0.009261,0.0,0
14:34:04.419397,8,9,IDA,252.0,97.0,0.1,0.011868,3.0,0
14:34:12.229860,8,9,VOLTA,479.0,295.0,0.1,0.019617,0.0,0
14:34:16.977463,9,10,IDA,462.0,150.0,0.1,0.005838,3.0,0
14:34:21.729560,9,10,VOLTA,479.0,295.0,0.1,0.009181,0.0,0
14:34:27.225355,10,11,IDA,345.0,244.0,0.1,0.007415,3.0,0
14:34:32.768894,10,11,VOLTA,479.0,295.0,0.1,0.01191,0.0,0
14:34:37.628064,11,12,IDA,457.0,347.0,0.1,0.00607,3.0,0
14:34:42.521676,11,12,VOLTA,479.0,295.0,0.1,0.009582,0.0,0
14:34:49.933250,12,13,IDA,273.0,451.0,0.1,0.011126,3.0,0
14:34:52.583985,12,13,VOLTA,273.0,451.0,0.4,0.01115,0.0,1
14:34:57.350718,13,14,IDA,395.0,293.0,0.1,0.005142,3.0,0
14:35:01.743226,13,14,VOLTA,479.0,295.0,0.1,0.007976,0.0,0
14:35:06.707552,14,15,IDA,340.0,337.0,0.1,0.006209,3.0,0
14:35:11.754040,14,15,VOLTA,479.0,295.0,0.1,0.009823,0.0,0
14:35:18.769716,15,16,IDA,309.0,446.0,0.1,0.010801,3.0,0
14:35:25.492965,15,16,VOLTA,479.0,295.0,0.1,0.01777,0.0,0
14:35:30.863942,16,17,IDA,266.0,325.0,0.1,0.007044,3.0,0
14:35:33.241842,16,17,VOLTA,266.0,325.0,0.4,0.007067,0.0,1
14:35:38.444074,17,18,IDA,439.0,360.0,0.1,0.006905,3.0,0
14:35:44.103617,17,18,VOLTA,479.0,295.0,0.1,0.011027,0.0,0
14:35:48.917094,18,19,IDA,469.0,195.0,0.1,0.005513,3.0,0
14:35:53.682782,18,19,VOLTA,479.0,295.0,0.1,0.008619,0.0,0
14:36:01.009969,19,20,IDA,237.0,128.0,0.1,0.010569,3.0,0
14:36:08.193096,19,20,VOLTA,479.0,295.0,0.1,0.017369,0.0,0
14:36:13.292326,0,21,IDA,455.0,371.0,0.1,0.018474,3.0,0
14:36:18.307348,0,21,VOLTA,479.0,295.0,0.1,0.022054,0.0,0
14:36:22.534736,1,22,IDA,426.0,259.0,0.1,0.01591,3.0,0
14:36:27.063790,1,22,VOLTA,479.0,295.0,0.1,0.019084,0.0,0
14:36:33.160907,2,23,IDA,237.0,151.0,0.1,0.021477,3.0,0
14:36:39.009915,2,23,VOLTA,479.0,295.0,0.1,0.027192,0.0,0
